Steering System Monitor Log
Started: 2025-08-20T15:17:36.768104
Interface: can3
================================================================================

[2025-08-20T15:17:38.000605] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.010588] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.011074] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.020587] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.030564] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.031071] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.040580] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.050592] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.051085] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.060604] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.070628] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.071139] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.080630] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.090649] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.091134] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.100642] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:38.110674] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.111149] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.120653] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.130657] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.131143] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.140657] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.150642] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:38.151137] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:38.160660] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.170839] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.171320] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.180681] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.190709] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.191193] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.200710] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.210726] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.211223] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.220843] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.230929] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.231410] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.240702] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.250683] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.251165] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.260772] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.270540] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.271268] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.280536] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.290565] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.291291] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.300534] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.310517] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.311233] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.320527] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.330512] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.331236] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.340504] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:38.350527] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.351253] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.360528] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.370754] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.371219] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.380500] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.390738] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:38.391278] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:38.400514] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.410537] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.411257] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.420524] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:38.430553] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.431284] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.440586] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.450588] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.451323] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.460604] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.470618] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.471352] Angle correlation error: SAS=-186.8, MDPS=0.0
