timestamp,can_id,message_count,longitudinal_accel_g,longitudinal_accel_status,imu_reset_status,temperature_c,temperature_status,yrs_type,msg_count,crc,raw_data_hex
1755699660.546164,320,2555,-0.021923980000000398,0,0,42,0,2,14,16,547F006E20000E10
1755699660.556163,320,2556,-0.019884539999999618,0,0,42,0,2,15,219,647F006E20000FDB
1755699660.566367,320,2557,-0.017335240000000418,0,0,42,0,2,0,98,787F006E20000062
1755699660.576151,320,2558,-0.016697914999999952,0,0,42,0,2,1,75,7D7F006E2000014B
1755699660.586165,320,2559,-0.017717635000000342,0,0,42,0,2,2,190,757F006E200002BE
1755699660.596146,320,2560,-0.01911974999999977,0,0,42,0,2,3,70,6A7F006E20000346
1755699660.606277,320,2561,-0.020521865000000084,0,0,42,0,2,4,247,5F7F006E200004F7
1755699660.616153,320,2562,-0.021541584999999586,0,0,42,0,2,5,56,577F006E20000538
1755699660.626167,320,2563,-0.01911974999999977,0,0,42,0,2,6,47,6A7F006E2000062F
1755699660.636182,320,2564,-0.016697914999999952,0,0,42,0,2,7,5,7D7F006E20000705
1755699660.646196,320,2565,-0.01759017000000007,0,0,42,0,2,8,139,767F006E2000088B
1755699660.656208,320,2566,-0.020521865000000084,0,0,42,0,2,9,118,5F7F006E20000976
1755699660.666404,320,2567,-0.021286654999999932,0,0,42,0,2,10,130,597F006E20000A82
1755699660.676247,320,2568,-0.01937468000000031,0,0,42,0,2,11,20,687F006E20000B14
1755699660.686254,320,2569,-0.018100030000000267,0,0,42,0,2,12,150,727F006E20000C96
1755699660.696267,320,2570,-0.018992285000000386,0,0,42,0,2,13,189,6B7F006E20000DBD
1755699660.706285,320,2571,-0.019502144999999693,0,0,42,0,2,14,33,677F006E20000E21
1755699660.716299,320,2572,-0.01657044999999968,0,0,42,0,2,15,10,7E7F006E20000F0A
1755699660.726317,320,2573,-0.014913404999999713,0,0,42,0,2,0,44,8B7F006E2000002C
1755699660.736341,320,2574,-0.017080309999999876,0,0,42,0,2,1,197,7A7F006E200001C5
1755699660.746341,320,2575,-0.017080309999999876,0,0,42,0,2,2,226,7A7F006E200002E2
1755699660.75612,320,2576,-0.017717635000000342,0,0,42,0,2,3,163,757F006E200003A3
1755699660.766169,320,2577,-0.016315520000000028,0,0,42,0,2,4,109,807F006E2000046D
1755699660.776117,320,2578,-0.018992285000000386,0,0,42,0,2,5,85,6B7F006E20000555
1755699660.786103,320,2579,-0.025110605000000064,0,0,42,0,2,6,21,3B7F006E20000615
1755699660.796094,320,2580,-0.026895115000000303,0,0,42,0,2,7,98,2D7F006E20000762
1755699660.806281,320,2581,-0.025365534999999717,0,0,42,0,2,8,9,397F006E20000809
1755699660.816103,320,2582,-0.026512720000000378,0,0,41,0,2,9,33,307F006D20000921
1755699660.826093,320,2583,-0.030719065000000434,0,0,42,0,2,10,54,0F7F006E20000A36
1755699660.836094,320,2584,-0.02855216000000027,0,0,42,0,2,11,24,207F006E20000B18
1755699660.846093,320,2585,-0.020776794999999737,0,0,42,0,2,12,165,5D7F006E20000CA5
1755699660.856084,320,2586,-0.017335240000000418,0,0,42,0,2,13,227,787F006E20000DE3
1755699660.866165,320,2587,-0.02396342000000029,0,0,41,0,2,14,19,447F006D20000E13
1755699660.876084,320,2588,-0.030719065000000434,0,0,42,0,2,15,95,0F7F006E20000F5F
1755699660.886089,320,2589,-0.028169765000000346,0,0,42,0,2,0,48,237F006E20000030
1755699660.896083,320,2590,-0.02370848999999975,0,0,42,0,2,1,168,467F006E200001A8
1755699660.906285,320,2591,-0.024473279999999598,0,0,42,0,2,2,92,407F006E2000025C
1755699660.916094,320,2592,-0.02918948499999985,0,0,42,0,2,3,19,1B7F006E20000313
1755699660.926108,320,2593,-0.03199371499999959,0,0,42,0,2,4,248,057F006E200004F8
1755699660.936116,320,2594,-0.030591600000000163,0,0,42,0,2,5,104,107F006E20000568
1755699660.946153,320,2595,-0.029954274999999697,0,0,42,0,2,6,123,157F006E2000067B
1755699660.956161,320,2596,-0.03033666999999962,0,0,42,0,2,7,232,127F006E200007E8
1755699660.96624,320,2597,-0.029954274999999697,0,0,42,0,2,8,221,157F006E200008DD
1755699660.976186,320,2598,-0.028934555000000195,0,0,42,0,2,9,18,1D7F006E20000912
1755699660.986217,320,2599,-0.02676765000000003,0,0,42,0,2,10,4,2E7F006E20000A04
1755699660.996235,320,2600,-0.02472821000000014,0,0,42,0,2,11,160,3E7F006E20000BA0
1755699661.006314,320,2601,-0.025365534999999717,0,0,42,0,2,12,125,397F006E20000C7D
1755699661.016245,320,2602,-0.030081739999999968,0,0,42,0,2,13,233,147F006E20000DE9
1755699661.026263,320,2603,-0.03288596999999971,0,0,42,0,2,14,240,FE7E006E20000EF0
1755699661.036289,320,2604,-0.03135639000000001,0,0,42,0,2,15,107,0A7F006E20000F6B
1755699661.046066,320,2605,-0.032758505000000326,0,0,42,0,2,0,11,FF7E006E2000000B
1755699661.056049,320,2606,-0.03416061999999975,0,0,42,0,2,1,35,F47E006E20000123
1755699661.066263,320,2607,-0.03288596999999971,0,0,42,0,2,2,108,FE7E006E2000026C
1755699661.076173,320,2608,-0.03199371499999959,0,0,42,0,2,3,171,057F006E200003AB
1755699661.086048,320,2609,-0.02855216000000027,0,0,42,0,2,4,163,207F006E200004A3
1755699661.096043,320,2610,-0.02472821000000014,0,0,42,0,2,5,6,3E7F006E20000506
1755699661.106263,320,2611,-0.024090884999999673,0,0,42,0,2,6,207,437F006E200006CF
1755699661.116039,320,2612,-0.02574792999999964,0,0,42,0,2,7,238,367F006E200007EE
1755699661.126039,320,2613,-0.02753243999999988,0,0,42,0,2,8,237,287F006E200008ED
1755699661.136017,320,2614,-0.026385255000000107,0,0,42,0,2,9,198,317F006E200009C6
1755699661.146116,320,2615,-0.021923980000000398,0,0,42,0,2,10,100,547F006E20000A64
1755699661.156023,320,2616,-0.01835495999999992,0,0,42,0,2,11,127,707F006E20000B7F
1755699661.166038,320,2617,-0.016697914999999952,0,0,42,0,2,12,202,7D7F006E20000CCA
1755699661.176027,320,2618,-0.017717635000000342,0,0,42,0,2,13,5,757F006E20000D05
1755699661.186039,320,2619,-0.01835495999999992,0,0,42,0,2,14,22,707F006E20000E16
1755699661.196039,320,2620,-0.01835495999999992,0,0,42,0,2,15,11,707F006E20000F0B
1755699661.206139,320,2621,-0.021286654999999932,0,0,42,0,2,0,80,597F006E20000050
1755699661.216197,320,2622,-0.025492999999999988,0,0,42,0,2,1,161,387F006E200001A1
1755699661.22607,320,2623,-0.030081739999999968,0,0,42,0,2,2,82,147F006E20000252
1755699661.236103,320,2624,-0.033523295000000175,0,0,42,0,2,3,255,F97E006E200003FF
1755699661.246121,320,2625,-0.033395829999999904,0,0,42,0,2,4,75,FA7E006E2000044B
1755699661.256122,320,2626,-0.035307805000000414,0,0,42,0,2,5,178,EB7E006E200005B2
1755699661.266215,320,2627,-0.03849443000000008,0,0,42,0,2,6,204,D27E006E200006CC
1755699661.276163,320,2628,-0.03696485000000038,0,0,42,0,2,7,106,DE7E006E2000076A
1755699661.286228,320,2629,-0.03314090000000025,0,0,42,0,2,8,4,FC7E006E20000804
1755699661.296196,320,2630,-0.029571879999999773,0,0,42,0,2,9,38,187F006E20000926
1755699661.306321,320,2631,-0.02931695000000012,0,0,42,0,2,10,187,1A7F006E20000ABB
1755699661.316218,320,2632,-0.033523295000000175,0,0,42,0,2,11,23,F97E006E20000B17
1755699661.326243,320,2633,-0.03607259500000026,0,0,42,0,2,12,70,E57E006E20000C46
1755699661.335981,320,2634,-0.03772964000000023,0,0,42,0,2,13,107,D87E006E20000D6B
1755699661.345994,320,2635,-0.04231838000000021,0,0,42,0,2,14,70,B47E006E20000E46
1755699661.356017,320,2636,-0.0458873999999998,0,0,42,0,2,15,143,987E006E20000F8F
1755699661.366197,320,2637,-0.047289515000000115,0,0,42,0,2,0,185,8D7E006E200000B9
1755699661.375975,320,2638,-0.04690712000000019,0,0,42,0,2,1,251,907E006E200001FB
1755699661.385974,320,2639,-0.04372049499999964,0,0,42,0,2,2,133,A97E006E20000285
1755699661.395966,320,2640,-0.0393866850000002,0,0,42,0,2,3,147,CB7E006E20000393
1755699661.406043,320,2641,-0.03479794500000022,0,0,42,0,2,4,198,EF7E006E200004C6
1755699661.415978,320,2642,-0.03594512999999999,0,0,42,0,2,5,84,E67E006E20000554
1755699661.426061,320,2643,-0.03607259500000026,0,0,42,0,2,6,148,E57E006E20000694
1755699661.435966,320,2644,-0.030973995000000087,0,0,42,0,2,7,13,0D7F006E2000070D
1755699661.445966,320,2645,-0.02472821000000014,0,0,42,0,2,8,135,3E7F006E20000887
1755699661.455955,320,2646,-0.02115918999999966,0,0,41,0,2,9,248,5A7F006D200009F8
1755699661.465951,320,2647,-0.022561304999999976,0,0,42,0,2,10,232,4F7F006E20000AE8
1755699661.475966,320,2648,-0.025492999999999988,0,0,42,0,2,11,115,387F006E20000B73
